Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,47.88324586,48.46124267,49.0429317,49.63377568,50.23499418,50.84035911,51.43872359,52.02145317,52.5857601,53.13693829,53.68307643,54.23717046,54.81023223,55.40674622,56.02564155,56.66844855,57.33564519,58.0232817,58.73015819,59.45864901,60.20865364,60.97486237,61.74487664,62.5028435,63.22847412,63.90511964,64.51901675,65.06968456,65.56025816,65.99453322,66.45814505,66.80636695,67.09139747,67.42000669,67.75892065,68.13895517,68.4745607,68.80522651,69.10837867,69.39929209,69.65210687,69.89068166,70.10823128,70.31523169,70.52760386,70.7434485,70.97536511,71.20282594,71.43033881,71.6622255,71.8899037,72.11858512,72.32976281,72.53611654,,
Caribbean small states,CSS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,64.30710184,64.82771092,65.30156908,65.7262305,66.10207286,66.43449694,66.73157485,67.00611899,67.26990817,67.53158039,67.79664439,68.06556332,68.33475736,68.59932808,68.85832513,69.11301269,69.36568077,69.61788915,69.86938777,70.12093455,70.3690625,70.60470595,70.82556783,71.02443991,71.19851168,71.34428701,71.46522041,71.56605542,71.65187717,71.73105271,71.80255032,71.86891196,71.93149105,71.9924663,72.05610355,72.12534105,72.20198208,72.28383565,72.37266558,72.46947648,72.57894778,72.70432342,72.84493014,73.00045087,73.16885091,73.34812525,73.53497141,73.72519042,73.914369,74.099073,74.2764889,74.44498973,74.6045258,74.75738244,,
Central Europe and the Baltics,CEB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,70.36772979,70.89465591,70.66783795,71.42104345,71.77925642,72.04381248,72.3650701,72.21218118,72.59080942,72.39695207,72.59225127,72.7755084,73.14071779,73.34610817,73.5369163,73.52552718,73.73978757,73.76039038,73.71727313,73.88165668,73.64115981,74.11795317,74.20352447,74.23229294,74.22563631,74.19522489,74.40585639,74.48868184,74.76012185,74.74559656,74.82316631,74.79036389,75.02410502,75.13845075,75.22226854,75.39129675,75.58518004,75.75188385,76.09881452,76.35532298,76.78708637,77.14039194,77.34233608,77.46576529,77.82081365,77.95315455,78.19941471,78.32158738,78.62694194,78.95536639,79.28456406,79.90331695,79.93159238,79.97381824,,
East Asia & Pacific (all income levels),EAS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,50.11275733,50.78218424,51.62169928,52.81603132,54.25889831,55.89393546,57.70305514,59.45078222,61.05316643,62.4646656,63.60825733,64.53142261,65.23435593,65.76696594,66.23687702,66.64619781,66.99135646,67.32857099,67.63672079,67.96096704,68.25583395,68.59546137,68.9373682,69.23337897,69.55708418,69.85444427,70.15838826,70.45272239,70.69605925,70.97102047,71.20300026,71.43397493,71.63173873,71.8211672,72.02184242,72.18753054,72.44286384,72.69843601,72.97988992,73.28477728,73.65908151,74.01449529,74.35281523,74.65460066,74.93640287,75.16049577,75.38219942,75.5681403,75.7411282,75.9275266,76.06988815,76.19770492,76.37082244,76.52454554,,
East Asia & Pacific (developing only),EAP,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,47.35960734,47.95864453,48.87130424,50.13586157,51.75286473,53.63211573,55.64152116,57.62182592,59.43245955,60.99741825,62.269394,63.24525623,63.99838021,64.60195652,65.08709715,65.48935024,65.83971033,66.1593229,66.46786355,66.77853527,67.09980793,67.43157015,67.7634718,68.0845209,68.39576527,68.69817342,68.99279332,69.27883801,69.55561423,69.82049803,70.07025572,70.29862065,70.50655082,70.69923791,70.88512556,71.0796619,71.30098621,71.55851866,71.85522334,72.18795302,72.5436813,72.90537677,73.25318068,73.57219297,73.85430496,74.09871511,74.30786207,74.49387078,74.66802081,74.83411542,74.99567811,75.15450683,75.31165052,75.46606183,,
Euro area,EMU,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,72.06325353,72.49084935,72.49652854,72.72287891,73.23404433,73.35130623,73.65275476,73.83477815,73.93105921,73.99530079,74.3671493,74.53601977,74.89000707,75.00610499,75.38578571,75.59246109,75.89221712,76.28810259,76.52703128,76.87637997,77.08020213,77.37782051,77.71207134,77.78166437,78.17435228,78.32310759,78.59282559,78.90694715,79.09709717,79.33724276,79.48078868,79.65395131,80.01856103,80.07901191,80.38914001,80.53596724,80.74303364,81.03528819,81.20707534,81.39783501,81.61878154,81.89588609,81.9243922,81.85017654,82.440838,82.55383199,82.98588385,83.18248865,83.29825447,83.48289848,83.70291817,84.22054186,84.15707184,84.18750449,,
Europe & Central Asia (all income levels),ECS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,70.14030739,70.54605311,70.68673397,71.00223336,71.44853976,71.64344892,71.90499971,72.0870601,72.21764155,72.29525839,72.67040643,72.88140774,73.07023391,73.18358047,73.44471761,73.47098947,73.60407585,73.86717451,73.97693163,74.13210804,74.26060483,74.53240476,74.79723535,74.86075543,75.01811904,75.14837408,75.52206608,75.7394873,75.89480878,76.02290068,76.09001979,76.01470766,75.92801257,75.79341979,76.05087584,76.26538795,76.49672947,76.74644503,76.83192922,77.00003403,77.12455629,77.43305866,77.4742827,77.51077847,77.94735184,78.09300185,78.51260579,78.80959394,78.99467156,79.30383094,79.5353281,80.04278325,80.12684152,80.27113304,,
Europe & Central Asia (developing only),ECA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,64.37097263,64.90517081,65.3106664,65.7503868,66.16129988,66.5050632,66.80866532,67.06952287,67.38424736,67.62668071,67.92048703,68.17361628,68.35815604,68.61283102,68.82216209,68.98628483,69.15462594,69.29213696,69.42686228,69.57346918,69.8647973,70.07957294,70.25938359,70.56092148,70.84267352,71.06457132,71.28229835,71.50717464,71.56187358,71.81769092,71.86262962,71.79682887,71.84549265,71.75329889,71.69356104,71.71223693,71.83076203,72.15202418,72.50252212,72.81654977,73.1268466,73.43446306,73.58851898,73.80219605,74.03399382,74.21003567,74.44892062,74.72858642,74.90223979,75.32434534,75.5745046,75.92554859,76.15137746,76.37836585,,
European Union,EUU,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,72.01509464,72.3728353,72.34770589,72.63870899,73.15478008,73.29365862,73.5637919,73.71669748,73.81371492,73.83175648,74.15572693,74.33761385,74.63058009,74.78015773,75.09624941,75.2559803,75.49016642,75.8346358,75.96586129,76.24252053,76.36601838,76.70497547,76.95559533,77.03525672,77.34186693,77.40307544,77.65154954,77.91003077,78.09736684,78.2841171,78.44115106,78.57372202,78.90030552,78.96352738,79.27116548,79.38608554,79.57310447,79.82638441,80.00167935,80.20201175,80.48029588,80.76644357,80.84398969,80.85431267,81.36641564,81.50291965,81.8755928,82.06404305,82.2117781,82.45069631,82.70624305,83.25046219,83.18306463,83.2132356,,
Fragile and conflict affected situations,FCS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,42.93587118,43.44022444,43.96700579,44.52123893,45.10252808,45.70467689,46.31676903,46.92411339,47.51443832,48.08217105,48.62367476,49.1393245,49.63459634,50.11361681,50.57731009,51.02921554,51.47288007,51.91277623,52.35579198,52.80787218,53.27198331,53.74721319,54.22513542,54.69354736,55.13945903,55.55162571,55.92325642,56.25364863,56.5421675,56.79036657,57.09351654,57.2619896,57.39338062,57.49750979,57.58529298,57.66914787,57.76290884,57.87778253,58.02092265,58.19977581,58.42035397,58.68547066,58.99003616,59.3288448,59.69915211,60.09710852,60.52009228,60.95954128,61.40465506,61.84248831,62.30258477,62.67192502,63.06300385,63.43694939,,
