Country,Sex,Age Group,Y2014,2014,Y2010,2010
Afghanistan, Both sexes, 18+  years,21.6 [19.7-23.6],21.6,21.2 [19.3-23.1],21.2
Afghanistan, Female, 18+  years,21.8 [18.6-25],21.8,21.2 [18.3-24.4],21.2
Afghanistan, Male, 18+  years,21.5 [19-23.9],21.5,21.1 [18.8-23.5],21.1
Albania, Both sexes, 18+  years,26.1 [25.4-26.9],26.1,25.9 [25.3-26.5],25.9
Albania, Female, 18+  years,25.6 [24.6-26.7],25.6,25.6 [24.7-26.4],25.6
Albania, Male, 18+  years,26.6 [25.6-27.5],26.6,26.3 [25.5-27],26.3
Algeria, Both sexes, 18+  years,26.2 [25.1-27.5],26.2,25.9 [24.8-27],25.9
Algeria, Female, 18+  years,27 [25.1-28.9],27,26.7 [24.9-28.5],26.7
Algeria, Male, 18+  years,25.5 [23.9-27.1],25.5,25.1 [23.7-26.6],25.1
Andorra, Both sexes, 18+  years,27.5 [25.4-29.3],27.5,27.3 [25.5-29.3],27.3
Andorra, Female, 18+  years,27.1 [24.1-30.2],27.1,27.1 [24.2-30],27.1
Andorra, Male, 18+  years,27.8 [25.4-30.3],27.8,27.5 [25.2-29.9],27.5
Angola, Both sexes, 18+  years,24.1 [22-26.2],24.1,23.6 [21.8-25.6],23.6
Angola, Female, 18+  years,24.6 [21.5-27.8],24.6,24.1 [21.1-27.1],24.1
Angola, Male, 18+  years,23.5 [21-26.1],23.5,23.1 [20.7-25.6],23.1
Antigua and Barbuda, Both sexes, 18+  years,28.4 [26.3-30.4],28.4,27.9 [26-29.7],27.9
Antigua and Barbuda, Female, 18+  years,29.5 [26.3-32.5],29.5,28.9 [25.9-31.8],28.9
Antigua and Barbuda, Male, 18+  years,27.3 [24.9-29.8],27.3,26.8 [24.5-29.2],26.8
Argentina, Both sexes, 18+  years,27.7 [26.8-28.6],27.7,27.2 [26.5-28],27.2
Argentina, Female, 18+  years,27.5 [26.3-28.8],27.5,27.1 [26.2-28.1],27.1
Argentina, Male, 18+  years,27.8 [26.5-29.1],27.8,27.4 [26.3-28.4],27.4
Armenia, Both sexes, 18+  years,26.7 [25.8-27.6],26.7,26.3 [25.5-27.1],26.3
Armenia, Female, 18+  years,27.4 [26.1-28.8],27.4,27.1 [26.1-28.2],27.1
Armenia, Male, 18+  years,25.9 [24.7-27.3],25.9,25.5 [24.5-26.6],25.5
Australia, Both sexes, 18+  years,27.2 [26.7-27.6],27.2,26.9 [26.7-27.2],26.9
Australia, Female, 18+  years,26.8 [26.2-27.4],26.8,26.6 [26.2-27],26.6
Australia, Male, 18+  years,27.6 [27-28.1],27.6,27.3 [26.9-27.7],27.3
Austria, Both sexes, 18+  years,25.4 [23.9-26.9],25.4,25.3 [24-26.6],25.3
Austria, Female, 18+  years,24.4 [22-26.7],24.4,24.3 [22.2-26.4],24.3
Austria, Male, 18+  years,26.5 [24.6-28.3],26.5,26.2 [24.6-27.9],26.2
Azerbaijan, Both sexes, 18+  years,27.4 [26.5-28.3],27.4,26.7 [26.1-27.4],26.7
Azerbaijan, Female, 18+  years,28.1 [26.8-29.5],28.1,27.6 [26.5-28.6],27.6
Azerbaijan, Male, 18+  years,26.6 [25.4-27.8],26.6,25.9 [25-26.8],25.9
Bahamas, Both sexes, 18+  years,28.8 [26.9-30.7],28.8,28.4 [26.4-30.2],28.4
Bahamas, Female, 18+  years,29.6 [26.6-32.7],29.6,29.2 [26.3-32.2],29.2
Bahamas, Male, 18+  years,28 [25.6-30.4],28,27.5 [25.2-29.8],27.5
Bahrain, Both sexes, 18+  years,28.2 [27.2-29.2],28.2,27.8 [27-28.7],27.8
Bahrain, Female, 18+  years,28.6 [27.1-30.3],28.6,28.3 [27.1-29.6],28.3
Bahrain, Male, 18+  years,28 [26.6-29.3],28,27.5 [26.5-28.6],27.5
Bangladesh, Both sexes, 18+  years,21 [20.4-21.6],21,20.6 [20.2-21],20.6
Bangladesh, Female, 18+  years,21.2 [20.4-22],21.2,20.7 [20.1-21.2],20.7
Bangladesh, Male, 18+  years,20.7 [19.9-21.6],20.7,20.5 [19.8-21.1],20.5
Barbados, Both sexes, 18+  years,28.7 [27.5-30],28.7,28.2 [27-29.2],28.2
Barbados, Female, 18+  years,30 [27.9-32],30,29.5 [27.8-31.1],29.5
Barbados, Male, 18+  years,27.4 [25.7-29],27.4,26.8 [25.4-28.2],26.8
Belarus, Both sexes, 18+  years,26.6 [24.6-28.8],26.6,26.4 [24.5-28.4],26.4
